ECM File Output,,,,,
Filename (includes date): 2025-09-08-10-32-dic13-170.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 2breaks, crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 33.41241015624998,,,,,
Y Right: 106.94491406249993,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 178.7359375,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 188.7359375,,,,,
X max Position (raw - not laser corrected): 945.5078125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
49.412,35.75,0.0,3.4980399999999995e-08,--,na
49.412,36.0,0.0,3.48159e-08,--,na
49.412,36.25,0.0,3.486415e-08,--,na
49.412,36.5,0.0,3.40422e-08,--,na
49.412,36.75,0.0,3.416225e-08,--,na
49.412,37.0,0.0,3.382675e-08,--,na
49.412,37.25,0.0,3.3622e-08,--,na
49.412,37.5,0.0,3.330645e-08,--,na
49.412,37.75,0.0,3.3631649999999994e-08,--,na
49.412,38.0,0.0,3.296835e-08,--,na
49.412,38.25,0.0,3.27093e-08,--,na
49.412,38.5,0.0,3.248215e-08,--,na
49.412,38.75,0.0,3.21482e-08,--,na
49.412,39.0,0.0,3.19204e-08,--,na
49.412,39.25,0.0,3.184855e-08,--,na
49.412,39.5,0.0,3.20501e-08,--,na
49.412,39.75,0.0,3.143585e-08,--,na
49.412,40.0,0.0,3.162065e-08,--,na
49.412,40.25,0.0,3.14133e-08,--,na
49.412,40.5,0.0,3.13101e-08,--,na
49.412,40.75,0.0,3.1094800000000004e-08,--,na
49.412,41.0,0.0,2.91091e-08,--,na
49.412,41.25,0.0,3.05514e-08,--,na
49.412,41.5,0.0,3.029915e-08,--,na
49.412,41.75,0.0,2.9526349999999998e-08,--,na
49.412,42.0,0.0,2.95276e-08,--,na
49.412,42.25,0.0,2.96469e-08,--,na
49.412,42.5,0.0,2.85118e-08,--,na
49.412,42.75,0.0,2.90059e-08,--,na
49.412,43.0,0.0,2.90955e-08,--,na
49.412,43.25,0.0,2.92647e-08,--,na
49.412,43.5,0.0,2.940625e-08,--,na
49.412,43.75,0.0,2.83349e-08,--,na
49.412,44.0,0.0,2.86631e-08,--,na
49.412,44.25,0.0,2.858435e-08,--,na
49.412,44.5,0.0,2.87806e-08,--,na
49.412,44.75,0.0,2.83529e-08,--,na
49.412,45.0,0.0,2.82822e-08,--,na
49.412,45.25,0.0,2.76748e-08,--,na
49.412,45.5,0.0,2.76187e-08,--,na
49.412,45.75,0.0,2.673915e-08,--,na
49.412,46.0,0.0,2.63145e-08,--,na
49.412,46.25,0.0,2.68998e-08,--,na
49.412,46.5,0.0,2.64332e-08,--,na
49.412,46.75,0.0,2.65283e-08,--,na
49.412,47.0,0.0,2.59552e-08,--,na
49.412,47.25,0.0,2.6724750000000002e-08,--,na
49.412,47.5,0.0,2.648475e-08,--,na
49.412,47.75,0.0,2.6343e-08,--,na
49.412,48.0,0.0,2.45284e-08,--,na
49.412,48.25,0.0,2.62742e-08,--,na
49.412,48.5,0.0,2.57403e-08,--,na
