ECM File Output,,,,,
Filename (includes date): 2025-09-09-10-07-dic-161.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break, took the two good sections in middle for scan, left out junk above and below,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 28.034753906249986,,,,,
Y Right: 102.18092578124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 130.5625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 133.553125,,,,,
X max Position (raw - not laser corrected): 803.0359375,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
44.035,36.25,0.0,3.82435e-08,--,na
44.035,36.5,0.0,3.730015e-08,--,na
44.035,36.75,0.0,3.636295e-08,--,na
44.035,37.0,0.0,3.47952e-08,--,na
44.035,37.25,0.0,3.698725e-08,--,na
44.035,37.5,0.0,3.59517e-08,--,na
44.035,37.75,0.0,4.06837e-08,--,na
44.035,38.0,0.0,3.6264e-08,--,na
44.035,38.25,0.0,3.654e-08,--,na
44.035,38.5,0.0,3.5471249999999994e-08,--,na
44.035,38.75,0.0,3.61685e-08,--,na
44.035,39.0,0.0,3.654315e-08,--,na
44.035,39.25,0.0,3.319365e-08,--,na
44.035,39.5,0.0,3.491745e-08,--,na
44.035,39.75,0.0,3.70374e-08,--,na
44.035,40.0,0.0,3.50746e-08,--,na
44.035,40.25,0.0,3.6939400000000006e-08,--,na
44.035,40.5,0.0,3.66032e-08,--,na
44.035,40.75,0.0,3.42306e-08,--,na
44.035,41.0,0.0,3.35471e-08,--,na
44.035,41.25,0.0,3.430145e-08,--,na
44.035,41.5,0.0,3.345935e-08,--,na
44.035,41.75,0.0,3.15684e-08,--,na
44.035,42.0,0.0,3.429705e-08,--,na
44.035,42.25,0.0,2.89926e-08,--,na
44.035,42.5,0.0,3.4384e-08,--,na
44.035,42.75,0.0,3.30319e-08,--,na
44.035,43.0,0.0,3.497345e-08,--,na
44.035,43.25,0.0,3.296725e-08,--,na
44.035,43.5,0.0,3.3309250000000004e-08,--,na
44.035,43.75,0.0,3.74027e-08,--,na
44.035,44.0,0.0,3.4902500000000004e-08,--,na
44.035,44.25,0.0,3.4497999999999996e-08,--,na
44.035,44.5,0.0,3.49767e-08,--,na
44.035,44.75,0.0,3.63896e-08,--,na
44.035,45.0,0.0,3.584435e-08,--,na
44.035,45.25,0.0,3.63228e-08,--,na
44.035,45.5,0.0,3.4748399999999996e-08,--,na
44.035,45.75,0.0,4.24537e-08,--,na
44.035,46.0,0.0,3.59782e-08,--,na
44.035,46.25,0.0,3.6205199999999997e-08,--,na
44.035,46.5,0.0,3.75189e-08,--,na
