ECM File Output,,,,,
Filename (includes date): 2025-09-08-15-31-den13a-175.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis, 6 breaks!!!!!,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 5,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.887792968749984,,,,,
Y Right: 102.02862499999995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 19.3265625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 19.3265625,,,,,
X max Position (raw - not laser corrected): 922.0812500000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.888,33.25,0.0,5.26889e-09,--,na
50.888,33.5,0.0,5.354040000000001e-09,--,na
50.888,33.75,0.0,5.841225e-09,--,na
50.888,34.0,0.0,4.99282e-09,--,na
50.888,34.25,0.0,5.05721e-09,--,na
50.888,34.5,0.0,7.616815e-09,--,na
50.888,34.75,0.0,5.41442e-09,--,na
50.888,35.0,0.0,5.59948e-09,--,na
50.888,35.25,0.0,6.15762e-09,--,na
50.888,35.5,0.0,6.716965e-09,--,na
50.888,35.75,0.0,5.921099999999999e-09,--,na
50.888,36.0,0.0,6.43533e-09,--,na
50.888,36.25,0.0,7.591725e-09,--,na
50.888,36.5,0.0,6.8384850000000005e-09,--,na
50.888,36.75,0.0,7.89059e-09,--,na
50.888,37.0,0.0,8.042835e-09,--,na
50.888,37.25,0.0,7.79917e-09,--,na
50.888,37.5,0.0,7.7667e-09,--,na
50.888,37.75,0.0,7.2016849999999994e-09,--,na
50.888,38.0,0.0,8.01073e-09,--,na
50.888,38.25,0.0,7.058365e-09,--,na
50.888,38.5,0.0,7.06873e-09,--,na
50.888,38.75,0.0,6.21538e-09,--,na
50.888,39.0,0.0,6.450375e-09,--,na
50.888,39.25,0.0,7.27827e-09,--,na
50.888,39.5,0.0,6.32005e-09,--,na
50.888,39.75,0.0,3.38153e-09,--,na
50.888,40.0,0.0,6.31584e-09,--,na
50.888,40.25,0.0,5.97866e-09,--,na
