ECM File Output,,,,,
Filename (includes date): 2025-09-08-14-24-dic13a-177.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis alignment, 3 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 37.366277343749985,,,,,
Y Right: 113.18230078124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 29.103125000000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 36.30625,,,,,
X max Position (raw - not laser corrected): 898.6828125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
53.366,44.75,0.0,2.9246399999999998e-08,--,na
53.366,45.0,0.0,2.82435e-08,--,na
53.366,45.25,0.0,2.71127e-08,--,na
53.366,45.5,0.0,2.76603e-08,--,na
53.366,45.75,0.0,2.8601e-08,--,na
53.366,46.0,0.0,2.82438e-08,--,na
53.366,46.25,0.0,2.92712e-08,--,na
53.366,46.5,0.0,2.796005e-08,--,na
53.366,46.75,0.0,2.89237e-08,--,na
53.366,47.0,0.0,2.85921e-08,--,na
53.366,47.25,0.0,2.82801e-08,--,na
53.366,47.5,0.0,2.87019e-08,--,na
53.366,47.75,0.0,2.9702749999999998e-08,--,na
53.366,48.0,0.0,2.9010050000000002e-08,--,na
53.366,48.25,0.0,2.91644e-08,--,na
53.366,48.5,0.0,2.88164e-08,--,na
53.366,48.75,0.0,2.8363549999999997e-08,--,na
53.366,49.0,0.0,2.96324e-08,--,na
53.366,49.25,0.0,3.00708e-08,--,na
53.366,49.5,0.0,2.855e-08,--,na
53.366,49.75,0.0,2.93503e-08,--,na
53.366,50.0,0.0,2.9582949999999998e-08,--,na
53.366,50.25,0.0,2.9113e-08,--,na
53.366,50.5,0.0,2.93948e-08,--,na
53.366,50.75,0.0,2.98878e-08,--,na
53.366,51.0,0.0,2.9453949999999998e-08,--,na
53.366,51.25,0.0,3.06263e-08,--,na
53.366,51.5,0.0,3.05029e-08,--,na
53.366,51.75,0.0,3.03382e-08,--,na
