ECM File Output,,,,,
Filename (includes date): 2025-09-08-08-19-dic13-174.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 3breaks, top 3cm broke off prescan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.162007812499986,,,,,
Y Right: 105.23587109374995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 77.415625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 84.415625,,,,,
X max Position (raw - not laser corrected): 959.4125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.162,35.5,0.0,4.84324e-08,--,na
50.162,35.75,0.0,4.77658e-08,--,na
50.162,36.0,0.0,4.7751e-08,--,na
50.162,36.25,0.0,4.790405e-08,--,na
50.162,36.5,0.0,4.72097e-08,--,na
50.162,36.75,0.0,4.699145e-08,--,na
50.162,37.0,0.0,4.42326e-08,--,na
50.162,37.25,0.0,4.65473e-08,--,na
50.162,37.5,0.0,4.60473e-08,--,na
50.162,37.75,0.0,4.5519450000000003e-08,--,na
50.162,38.0,0.0,4.49813e-08,--,na
50.162,38.25,0.0,4.46028e-08,--,na
50.162,38.5,0.0,4.04212e-08,--,na
50.162,38.75,0.0,4.43253e-08,--,na
50.162,39.0,0.0,4.289635e-08,--,na
50.162,39.25,0.0,4.249455e-08,--,na
50.162,39.5,0.0,4.20372e-08,--,na
50.162,39.75,0.0,4.13136e-08,--,na
50.162,40.0,0.0,4.10711e-08,--,na
50.162,40.25,0.0,4.062055e-08,--,na
50.162,40.5,0.0,3.95441e-08,--,na
50.162,40.75,0.0,3.9358899999999997e-08,--,na
50.162,41.0,0.0,3.89549e-08,--,na
50.162,41.25,0.0,3.803165e-08,--,na
50.162,41.5,0.0,3.78761e-08,--,na
50.162,41.75,0.0,3.68593e-08,--,na
50.162,42.0,0.0,3.57548e-08,--,na
50.162,42.25,0.0,3.625485e-08,--,na
50.162,42.5,0.0,3.53211e-08,--,na
50.162,42.75,0.0,3.533845e-08,--,na
50.162,43.0,0.0,3.53847e-08,--,na
50.162,43.25,0.0,3.486805e-08,--,na
50.162,43.5,0.0,3.40404e-08,--,na
50.162,43.75,0.0,3.38021e-08,--,na
50.162,44.0,0.0,3.3297900000000006e-08,--,na
50.162,44.25,0.0,3.267565e-08,--,na
50.162,44.5,0.0,3.23774e-08,--,na
50.162,44.75,0.0,3.2209849999999994e-08,--,na
50.162,45.0,0.0,3.15139e-08,--,na
50.162,45.25,0.0,3.15005e-08,--,na
50.162,45.5,0.0,3.09095e-08,--,na
50.162,45.75,0.0,3.0023500000000004e-08,--,na
50.162,46.0,0.0,3.0832499999999995e-08,--,na
50.162,46.25,0.0,3.006445e-08,--,na
50.162,46.5,0.0,2.99091e-08,--,na
50.162,46.75,0.0,3.0063750000000003e-08,--,na
50.162,47.0,0.0,2.984385e-08,--,na
50.162,47.25,0.0,2.88802e-08,--,na
50.162,47.5,0.0,2.951335e-08,--,na
50.162,47.75,0.0,2.93789e-08,--,na
50.162,48.0,0.0,2.86484e-08,--,na
50.162,48.25,0.0,2.92939e-08,--,na
50.162,48.5,0.0,2.84327e-08,--,na
50.162,48.75,0.0,2.865685e-08,--,na
50.162,49.0,0.0,2.91415e-08,--,na
50.162,49.25,0.0,2.91951e-08,--,na
50.162,49.5,0.0,2.92598e-08,--,na
50.162,49.75,0.0,3.14818e-08,--,na
50.162,50.0,0.0,2.890265e-08,--,na
50.162,50.25,0.0,2.925475e-08,--,na
50.162,50.5,0.0,2.85042e-08,--,na
50.162,50.75,0.0,2.917515e-08,--,na
50.162,51.0,0.0,2.8702750000000002e-08,--,na
50.162,51.25,0.0,2.908085e-08,--,na
50.162,51.5,0.0,2.93965e-08,--,na
50.162,51.75,0.0,2.9672850000000002e-08,--,na
50.162,52.0,0.0,2.76806e-08,--,na
50.162,52.25,0.0,2.938965e-08,--,na
50.162,52.5,0.0,2.89225e-08,--,na
50.162,52.75,0.0,2.94189e-08,--,na
50.162,53.0,0.0,2.9655499999999997e-08,--,na
50.162,53.25,0.0,2.94239e-08,--,na
50.162,53.5,0.0,2.990845e-08,--,na
50.162,53.75,0.0,2.97734e-08,--,na
50.162,54.0,0.0,3.22336e-08,--,na
50.162,54.25,0.0,3.0401400000000004e-08,--,na
50.162,54.5,0.0,3.10355e-08,--,na
50.162,54.75,0.0,3.09528e-08,--,na
50.162,55.0,0.0,3.1253400000000004e-08,--,na
50.162,55.25,0.0,3.01005e-08,--,na
50.162,55.5,0.0,3.17294e-08,--,na
50.162,55.75,0.0,3.19694e-08,--,na
50.162,56.0,0.0,3.31092e-08,--,na
50.162,56.25,0.0,3.19725e-08,--,na
50.162,56.5,0.0,3.2637150000000004e-08,--,na
50.162,56.75,0.0,3.28776e-08,--,na
50.162,57.0,0.0,3.3300300000000003e-08,--,na
50.162,57.25,0.0,3.80571e-08,--,na
50.162,57.5,0.0,3.49474e-08,--,na
50.162,57.75,0.0,3.4302100000000004e-08,--,na
50.162,58.0,0.0,3.493195e-08,--,na
50.162,58.25,0.0,3.54916e-08,--,na
50.162,58.5,0.0,3.65889e-08,--,na
50.162,58.75,0.0,3.64836e-08,--,na
50.162,59.0,0.0,3.73839e-08,--,na
50.162,59.25,0.0,3.70571e-08,--,na
50.162,59.5,0.0,3.908215e-08,--,na
50.162,59.75,0.0,3.81372e-08,--,na
50.162,60.0,0.0,3.9663949999999994e-08,--,na
50.162,60.25,0.0,3.98039e-08,--,na
50.162,60.5,0.0,4.07881e-08,--,na
50.162,60.75,0.0,4.3101900000000006e-08,--,na
50.162,61.0,0.0,4.2105799999999996e-08,--,na
50.162,61.25,0.0,4.22906e-08,--,na
50.162,61.5,0.0,4.31827e-08,--,na
50.162,61.75,0.0,4.416725e-08,--,na
50.162,62.0,0.0,4.4566000000000003e-08,--,na
50.162,62.25,0.0,4.50694e-08,--,na
50.162,62.5,0.0,4.588035e-08,--,na
50.162,62.75,0.0,4.605905e-08,--,na
50.162,63.0,0.0,4.723955e-08,--,na
50.162,63.25,0.0,4.81778e-08,--,na
50.162,63.5,0.0,4.844475e-08,--,na
50.162,63.75,0.0,4.89636e-08,--,na
50.162,64.0,0.0,5.05788e-08,--,na
50.162,64.25,0.0,5.07023e-08,--,na
50.162,64.5,0.0,5.12295e-08,--,na
50.162,64.75,0.0,5.15912e-08,--,na
50.162,65.0,0.0,5.24831e-08,--,na
50.162,65.25,0.0,5.37353e-08,--,na
50.162,65.5,0.0,5.31065e-08,--,na
50.162,65.75,0.0,5.3879249999999996e-08,--,na
50.162,66.0,0.0,5.4305900000000005e-08,--,na
50.162,66.25,0.0,5.45421e-08,--,na
50.162,66.5,0.0,5.6235249999999994e-08,--,na
50.162,66.75,0.0,5.51373e-08,--,na
50.162,67.0,0.0,5.555885e-08,--,na
50.162,67.25,0.0,5.67229e-08,--,na
50.162,67.5,0.0,5.63226e-08,--,na
50.162,67.75,0.0,5.669595e-08,--,na
50.162,68.0,0.0,5.70574e-08,--,na
50.162,68.25,0.0,5.73562e-08,--,na
50.162,68.5,0.0,5.72797e-08,--,na
50.162,68.75,0.0,5.737745e-08,--,na
50.162,69.0,0.0,5.8440749999999993e-08,--,na
50.162,69.25,0.0,5.48979e-08,--,na
50.162,69.5,0.0,5.71199e-08,--,na
50.162,69.75,0.0,5.84421e-08,--,na
50.162,70.0,0.0,5.6916500000000005e-08,--,na
50.162,70.25,0.0,5.68746e-08,--,na
50.162,70.5,0.0,5.5414849999999995e-08,--,na
50.162,70.75,0.0,5.4729600000000006e-08,--,na
50.162,71.0,0.0,5.78184e-08,--,na
50.162,71.25,0.0,5.47819e-08,--,na
50.162,71.5,0.0,5.53331e-08,--,na
50.162,71.75,0.0,5.4335949999999995e-08,--,na
50.162,72.0,0.0,5.488205e-08,--,na
50.162,72.25,0.0,5.43069e-08,--,na
50.162,72.5,0.0,5.3652900000000005e-08,--,na
50.162,72.75,0.0,5.394635e-08,--,na
50.162,73.0,0.0,5.3265e-08,--,na
50.162,73.25,0.0,5.2787700000000006e-08,--,na
50.162,73.5,0.0,5.26635e-08,--,na
50.162,73.75,0.0,5.09335e-08,--,na
50.162,74.0,0.0,5.12759e-08,--,na
50.162,74.25,0.0,5.15348e-08,--,na
50.162,74.5,0.0,5.12322e-08,--,na
50.162,74.75,0.0,5.144545e-08,--,na
50.162,75.0,0.0,5.06184e-08,--,na
