ECM File Output,,,,,
Filename (includes date): 2025-09-08-12-00-dic1-168.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1piece, left out bad top 22cm and bottom 26.5cm pre scan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 32.43014453124998,,,,,
Y Right: 103.57991015624994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 254.05937500000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 254.05937500000002,,,,,
X max Position (raw - not laser corrected): 730.3453125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
48.43,93.75,0.0,3.6774550000000006e-08,--,na
48.43,94.0,0.0,3.611605e-08,--,na
48.43,94.25,0.0,3.575015e-08,--,na
48.43,94.5,0.0,3.58089e-08,--,na
48.43,94.75,0.0,3.57831e-08,--,na
48.43,95.0,0.0,3.5488200000000004e-08,--,na
48.43,95.25,0.0,3.50853e-08,--,na
48.43,95.5,0.0,3.424475e-08,--,na
48.43,95.75,0.0,3.499785e-08,--,na
48.43,96.0,0.0,3.31394e-08,--,na
48.43,96.25,0.0,3.4661999999999996e-08,--,na
48.43,96.5,0.0,3.42065e-08,--,na
48.43,96.75,0.0,3.396025e-08,--,na
48.43,97.0,0.0,3.43024e-08,--,na
48.43,97.25,0.0,3.28675e-08,--,na
48.43,97.5,0.0,3.3163850000000004e-08,--,na
48.43,97.75,0.0,3.310655e-08,--,na
48.43,98.0,0.0,3.15183e-08,--,na
48.43,98.25,0.0,3.334705e-08,--,na
48.43,98.5,0.0,3.23158e-08,--,na
48.43,98.75,0.0,3.2582299999999997e-08,--,na
48.43,99.0,0.0,3.231255e-08,--,na
48.43,99.25,0.0,3.31738e-08,--,na
48.43,99.5,0.0,3.145125e-08,--,na
48.43,99.75,0.0,3.1813999999999996e-08,--,na
48.43,100.0,0.0,3.1959e-08,--,na
48.43,100.25,0.0,3.14225e-08,--,na
48.43,100.5,0.0,3.16409e-08,--,na
48.43,100.75,0.0,3.16556e-08,--,na
48.43,101.0,0.0,3.08987e-08,--,na
48.43,101.25,0.0,3.037605e-08,--,na
48.43,101.5,0.0,3.080185e-08,--,na
48.43,101.75,0.0,3.125305e-08,--,na
48.43,102.0,0.0,3.100645e-08,--,na
48.43,102.25,0.0,3.16415e-08,--,na
48.43,102.5,0.0,3.032605e-08,--,na
48.43,102.75,0.0,3.093625e-08,--,na
48.43,103.0,0.0,3.064045e-08,--,na
48.43,103.25,0.0,3.0455099999999996e-08,--,na
48.43,103.5,0.0,3.028495e-08,--,na
48.43,103.75,0.0,3.0250050000000006e-08,--,na
48.43,104.0,0.0,3.02698e-08,--,na
48.43,104.25,0.0,3.0053e-08,--,na
48.43,104.5,0.0,3.0277300000000003e-08,--,na
48.43,104.75,0.0,3.142725e-08,--,na
48.43,105.0,0.0,3.0148049999999996e-08,--,na
48.43,105.25,0.0,3.06748e-08,--,na
48.43,105.5,0.0,3.012835e-08,--,na
48.43,105.75,0.0,3.019425e-08,--,na
48.43,106.0,0.0,3.07756e-08,--,na
48.43,106.25,0.0,3.0049499999999994e-08,--,na
48.43,106.5,0.0,3.0242899999999996e-08,--,na
48.43,106.75,0.0,2.97213e-08,--,na
48.43,107.0,0.0,2.998905e-08,--,na
48.43,107.25,0.0,3.00864e-08,--,na
48.43,107.5,0.0,3.06109e-08,--,na
48.43,107.75,0.0,3.040755e-08,--,na
48.43,108.0,0.0,3.006355e-08,--,na
48.43,108.25,0.0,3.07368e-08,--,na
48.43,108.5,0.0,3.0361099999999995e-08,--,na
48.43,108.75,0.0,3.06314e-08,--,na
48.43,109.0,0.0,3.08656e-08,--,na
48.43,109.25,0.0,3.0579950000000004e-08,--,na
48.43,109.5,0.0,3.21367e-08,--,na
48.43,109.75,0.0,3.09104e-08,--,na
48.43,110.0,0.0,3.15789e-08,--,na
48.43,110.25,0.0,3.20145e-08,--,na
48.43,110.5,0.0,3.20625e-08,--,na
48.43,110.75,0.0,3.19953e-08,--,na
48.43,111.0,0.0,3.24078e-08,--,na
48.43,111.25,0.0,3.23135e-08,--,na
48.43,111.5,0.0,3.2503050000000006e-08,--,na
48.43,111.75,0.0,3.270955e-08,--,na
48.43,112.0,0.0,3.354605e-08,--,na
48.43,112.25,0.0,3.26393e-08,--,na
48.43,112.5,0.0,3.35418e-08,--,na
48.43,112.75,0.0,3.372755e-08,--,na
48.43,113.0,0.0,3.434405e-08,--,na
48.43,113.25,0.0,3.50107e-08,--,na
48.43,113.5,0.0,3.479195e-08,--,na
48.43,113.75,0.0,3.52546e-08,--,na
48.43,114.0,0.0,3.56461e-08,--,na
48.43,114.25,0.0,3.6277e-08,--,na
48.43,114.5,0.0,3.6757500000000003e-08,--,na
48.43,114.75,0.0,3.6153799999999996e-08,--,na
48.43,115.0,0.0,3.68761e-08,--,na
48.43,115.25,0.0,3.75337e-08,--,na
48.43,115.5,0.0,3.8141750000000005e-08,--,na
48.43,115.75,0.0,3.774345e-08,--,na
48.43,116.0,0.0,3.81554e-08,--,na
48.43,116.25,0.0,3.86294e-08,--,na
48.43,116.5,0.0,3.8713e-08,--,na
48.43,116.75,0.0,3.94859e-08,--,na
48.43,117.0,0.0,3.97083e-08,--,na
48.43,117.25,0.0,3.99257e-08,--,na
48.43,117.5,0.0,3.98864e-08,--,na
48.43,117.75,0.0,4.10662e-08,--,na
48.43,118.0,0.0,4.12149e-08,--,na
48.43,118.25,0.0,4.12484e-08,--,na
48.43,118.5,0.0,4.16913e-08,--,na
48.43,118.75,0.0,4.188e-08,--,na
48.43,119.0,0.0,4.21269e-08,--,na
48.43,119.25,0.0,4.223005e-08,--,na
48.43,119.5,0.0,4.20682e-08,--,na
48.43,119.75,0.0,4.248845e-08,--,na
48.43,120.0,0.0,4.25008e-08,--,na
48.43,120.25,0.0,4.2785550000000006e-08,--,na
48.43,120.5,0.0,4.33759e-08,--,na
48.43,120.75,0.0,4.315045e-08,--,na
48.43,121.0,0.0,4.28984e-08,--,na
48.43,121.25,0.0,4.2842050000000003e-08,--,na
48.43,121.5,0.0,4.273895e-08,--,na
48.43,121.75,0.0,4.359065e-08,--,na
48.43,122.0,0.0,4.30135e-08,--,na
48.43,122.25,0.0,4.36327e-08,--,na
48.43,122.5,0.0,4.34941e-08,--,na
48.43,122.75,0.0,4.338365e-08,--,na
48.43,123.0,0.0,4.3782450000000006e-08,--,na
48.43,123.25,0.0,4.35015e-08,--,na
48.43,123.5,0.0,4.29504e-08,--,na
48.43,123.75,0.0,4.31287e-08,--,na
48.43,124.0,0.0,4.26465e-08,--,na
48.43,124.25,0.0,4.325135e-08,--,na
48.43,124.5,0.0,4.303455e-08,--,na
48.43,124.75,0.0,4.363975e-08,--,na
48.43,125.0,0.0,4.25276e-08,--,na
48.43,125.25,0.0,4.24756e-08,--,na
48.43,125.5,0.0,4.22376e-08,--,na
48.43,125.75,0.0,4.231235e-08,--,na
48.43,126.0,0.0,4.20179e-08,--,na
48.43,126.25,0.0,4.132125e-08,--,na
48.43,126.5,0.0,4.117685e-08,--,na
48.43,126.75,0.0,4.04496e-08,--,na
48.43,127.0,0.0,4.0299e-08,--,na
48.43,127.25,0.0,3.99236e-08,--,na
