,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header,filename
4,dic1,2025-09-08-09-37,172,t,AC,10,25,1000,2breaks,0.25,6,305,-10,31.77133203124998,103.69202734374996,16,12,37.321875,0.0,0.0,0.0,159.518,39.321875000000006,939.271875,22,../../data/raw_data/2025-09-08-09-37-dic1-172-t.txt
5,dic1,2025-09-08-09-51,172,t,DC,10,25,1000,2breaks,0.25,6,305,-10,31.77133203124998,103.69202734374996,16,12,37.321875,0.0,0.0,0.0,159.518,39.321875000000006,939.271875,22,../../data/raw_data/2025-09-08-09-51-dic1-172-t.txt
2,dic1,2025-09-08-09-11,173,t,AC,10,25,1000,3breaks,0.25,6,305,-10,34.918550781249984,111.49161328124994,16,12,34.464062500000004,0.0,0.0,0.0,160.443,45.8359375,946.0125,22,../../data/raw_data/2025-09-08-09-11-dic1-173-t.txt
3,dic1,2025-09-08-09-25,173,t,DC,10,25,1000,3breaks,0.25,7,305,-10,34.918550781249984,111.49161328124994,16,12,34.464062500000004,0.0,0.0,0.0,160.443,45.8359375,946.0125,22,../../data/raw_data/2025-09-08-09-25-dic1-173-t.txt
0,dic1,2025-09-08-08-19,174,t,AC,10,25,1000,"3breaks, top 3cm broke off prescan",0.25,6,305,-10,34.162007812499986,105.23587109374995,16,12,77.415625,0.0,0.0,0.0,161.384,84.415625,959.4125,22,../../data/raw_data/2025-09-08-08-19-dic1-174-t.txt
1,dic1,2025-09-08-08-32,174,t,DC,10,25,1000,3breaks,0.25,6,305,-10,34.162007812499986,105.23587109374995,16,12,77.415625,0.0,0.0,0.0,161.384,84.415625,959.4125,22,../../data/raw_data/2025-09-08-08-32-dic1-174-t.txt
23,dic1,2025-09-08-15-31,175,t,AC,10,25,1000,"redo for x axis, 6 breaks!!!!!",0.25,5,305,-10,34.887792968749984,102.02862499999995,16,12,19.3265625,0.0,0.0,0.0,162.299,19.3265625,922.0812500000001,22,../../data/raw_data/2025-09-08-15-31-dic1-175-t.txt
24,dic1,2025-09-08-15-44,175,t,DC,10,25,1000,redo for x axis,0.25,6,305,-10,34.887792968749984,102.02862499999995,16,12,19.3265625,0.0,0.0,0.0,162.299,19.3265625,922.0812500000001,22,../../data/raw_data/2025-09-08-15-44-dic1-175-t.txt
21,dic1,2025-09-08-15-07,176,t,AC,10,25,1000,3breaks,0.25,4,305,-10,26.588640624999986,80.96299609374996,16,12,959.9890625,0.0,0.0,0.0,163.316,32.3375,924.3687500000001,22,../../data/raw_data/2025-09-08-15-07-dic1-176-t.txt
22,dic1,2025-09-08-15-16,176,t,DC,10,25,1000,3breaks,0.25,5,305,-10,26.588640624999986,80.96299609374996,16,12,959.9890625,0.0,0.0,0.0,163.316,32.3375,924.3687500000001,22,../../data/raw_data/2025-09-08-15-16-dic1-176-t.txt
19,dic1,2025-09-08-14-24,177,t,AC,10,25,1000,"redo for x axis alignment, 3 breaks",0.25,6,305,-10,37.366277343749985,113.18230078124994,16,12,29.103125000000002,0.0,0.0,0.0,164.252,36.30625,898.6828125000001,22,../../data/raw_data/2025-09-08-14-24-dic1-177-t.txt
20,dic1,2025-09-08-14-49,177,t,DC,10,25,1000,redo for x axis alignment,0.25,7,305,-10,37.366277343749985,113.18230078124994,16,12,29.103125000000002,0.0,0.0,0.0,164.252,36.30625,898.6828125000001,22,../../data/raw_data/2025-09-08-14-49-dic1-177-t.txt
17,dic1,2025-09-08-13-38,178,t,AC,10,25,1000,redo for x axis alignment,0.25,6,305,-10,25.25960546874999,100.59292968749995,16,12,25.204687500000002,0.0,0.0,0.0,165.177,33.096875000000004,948.8828125,22,../../data/raw_data/2025-09-08-13-38-dic1-178-t.txt
18,dic1,2025-09-08-13-55,178,t,DC,10,25,1000,redo for x axis alignment,0.25,7,305,-10,25.25960546874999,100.59292968749995,16,12,25.204687500000002,0.0,0.0,0.0,165.177,33.096875000000004,948.8828125,22,../../data/raw_data/2025-09-08-13-55-dic1-178-t.txt
78,dic1,2025-09-11-15-28,179,t,AC,10,25,1000,5 breaks,0.25,6,305,-10,30.877867187499984,100.06558203124995,16,12,195.3703125,0.0,0.0,0.0,166.212,205.5890625,893.6640625,22,../../data/raw_data/2025-09-11-15-28-dic1-179-t.txt
79,dic1,2025-09-11-15-43,179,t,DC,10,25,1000,5 breaks,0.25,6,305,-10,30.877867187499984,100.06558203124995,16,12,195.3703125,0.0,0.0,0.0,166.212,205.5890625,893.6640625,22,../../data/raw_data/2025-09-11-15-43-dic1-179-t.txt
76,dic1,2025-09-11-15-07,180,t,AC,10,25,1000,6 breaks,0.25,5,305,-10,36.30810937499998,101.58114843749995,16,12,130.28593750000002,0.0,0.0,0.0,166.967,136.30937500000002,1023.3734375,22,../../data/raw_data/2025-09-11-15-07-dic1-180-t.txt
77,dic1,2025-09-11-15-18,180,t,DC,10,25,1000,6 breaks,0.25,6,305,-10,36.30810937499998,101.58114843749995,16,12,130.28593750000002,0.0,0.0,0.0,166.967,136.30937500000002,1023.3734375,22,../../data/raw_data/2025-09-11-15-18-dic1-180-t.txt
92,dic1,2025-09-12-12-18,181,t,AC,10,25,1000,small section,0.25,6,305,-10,30.756324218749985,100.79186328124995,16,12,427.42656250000005,0.0,0.0,0.0,168.452,442.94375,566.6671875000001,22,../../data/raw_data/2025-09-12-12-18-dic1-181-t.txt
93,dic1,2025-09-12-12-24,181,t,DC,10,25,1000,small section,0.25,6,305,-10,30.756324218749985,100.79186328124995,16,12,427.42656250000005,0.0,0.0,0.0,168.452,442.94375,566.6671875000001,22,../../data/raw_data/2025-09-12-12-24-dic1-181-t.txt
66,dic1,2025-09-11-11-45,182,t,AC,10,25,1000,"bottom 17cm of core, rest small chunks",0.25,6,305,-10,29.624734374999985,102.76234765624994,16,12,397.296875,0.0,0.0,0.0,168.834,400.296875,566.2375000000001,22,../../data/raw_data/2025-09-11-11-45-dic1-182-t.txt
67,dic1,2025-09-11-11-53,182,t,DC,10,25,1000,bottom 17cm of core,0.25,7,305,-10,29.624734374999985,102.76234765624994,16,12,397.296875,0.0,0.0,0.0,168.834,400.296875,566.2375000000001,22,../../data/raw_data/2025-09-11-11-53-dic1-182-t.txt
74,dic1,2025-09-11-14-37,183,t,AC,10,25,1000,5 breaks,0.25,6,305,-10,33.89510937499998,104.71298828124995,16,12,90.496875,0.0,0.0,0.0,169.495,104.56093750000001,930.9046875,22,../../data/raw_data/2025-09-11-14-37-dic1-183-t.txt
75,dic1,2025-09-11-14-51,183,t,DC,10,25,1000,5 breaks,0.25,6,305,-10,33.89510937499998,104.71298828124995,16,12,90.496875,0.0,0.0,0.0,169.495,104.56093750000001,930.9046875,22,../../data/raw_data/2025-09-11-14-51-dic1-183-t.txt
90,dic1,2025-09-12-12-02,184,t,AC,10,25,1000,redo bc dc creashed,0.25,5,305,-10,33.26953515624998,100.59243359374994,16,12,459.70468750000003,0.0,0.0,0.0,171.15,459.70468750000003,785.4250000000001,22,../../data/raw_data/2025-09-12-12-02-dic1-184-t.txt
91,dic1,2025-09-12-12-09,184,t,DC,10,25,1000,redo bc dc creashed,0.25,6,305,-10,33.26953515624998,100.59243359374994,16,12,459.70468750000003,0.0,0.0,0.0,171.15,459.70468750000003,785.4250000000001,22,../../data/raw_data/2025-09-12-12-09-dic1-184-t.txt
96,dic1,2025-09-12-12-48,184a,t,AC,10,25,1000,,0.25,5,305,-10,33.414890624999984,101.17633593749994,16,12,403.3125,0.0,0.0,0.0,170.607,407.3125,628.2640625,22,../../data/raw_data/2025-09-12-12-48-dic1-184a-t.txt
97,dic1,2025-09-12-12-58,184a,t,DC,10,25,1000,,0.25,6,305,-10,33.414890624999984,101.17633593749994,16,12,403.3125,0.0,0.0,0.0,170.607,407.3125,628.2640625,22,../../data/raw_data/2025-09-12-12-58-dic1-184a-t.txt
63,dic1,2025-09-11-10-18,185,t,AC,10,25,1000,4breaks,0.25,6,305,-10,31.60563671874998,103.79719921874994,16,12,78.0484375,0.0,0.0,0.0,171.485,80.84687500000001,1011.4359375,22,../../data/raw_data/2025-09-11-10-18-dic1-185-t.txt
65,dic1,2025-09-11-10-53,185,t,AC,10,25,1000,4 breaks,0.25,6,305,-10,31.983660156249982,102.84717968749995,16,12,190.77968750000002,0.0,0.0,0.0,171.485,194.3359375,1126.8812500000001,22,../../data/raw_data/2025-09-11-10-53-dic1-185-t.txt
